// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B44073
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
24843		-37.479311	13.495603	-14.624988	-3.703963	-3.776264	-3.021300	1.124268	0.641846	-1.703857
24844		-38.646873	10.368669	-24.570574	-2.722376	-2.395311	-2.270398	1.074463	0.708740	-1.718018
24845		-39.350633	8.453911	-28.607691	-1.101798	-1.323413	-1.574842	1.049805	0.739014	-1.729492
24846		-38.612257	13.873914	-26.562754	0.224837	-0.471144	-1.497465	1.036377	0.750000	-1.733887
24847		-33.599758	16.384713	-24.344242	0.449960	0.464021	-1.859500	1.044434	0.769531	-1.729980
24848		-25.726620	14.579383	-21.467073	0.478246	1.832333	-1.885401	1.081299	0.778320	-1.708496
24849		-23.996080	12.291964	-16.131723	0.724517	3.162087	-1.656707	1.135742	0.770020	-1.667480
24850		-20.404421	2.992887	-14.850788	2.529572	4.112934	-0.842019	1.215576	0.716064	-1.631836
24851		-16.292781	9.048050	-8.697275	3.796733	5.045371	0.708036	1.322266	0.636230	-1.584961
24852		2.851808	-7.705496	4.158504	4.014690	4.971371	3.400795	1.446045	0.495850	-1.515625
24853		-5.360422	3.005761	30.509152	2.548006	6.021566	6.331505	1.571777	0.362061	-1.407959
24854		-56.085636	-13.040162	15.447141	3.979697	5.685334	5.256647	1.652588	0.204346	-1.319336
24855		-44.513390	8.400460	25.947803	3.471293	2.705202	3.728915	1.679199	0.109131	-1.272705
24856		-9.944383	8.801537	17.150132	3.142116	0.632827	2.335908	1.679199	0.043945	-1.250244
24857		-23.860314	18.721362	9.388329	1.442922	-0.909686	0.980824	1.649414	0.022217	-1.241455
24858		-13.122795	4.185335	10.527652	0.851450	-1.296619	0.405291	1.625977	0.009277	-1.232666
24859		-0.257564	-5.464163	13.710809	0.819073	-0.861965	0.132611	1.604492	-0.001709	-1.219971
24860		-3.544169	-0.919428	10.073489	0.784941	-0.519707	0.146405	1.585205	-0.006104	-1.202881
24861		-10.705912	1.250508	9.430750	0.670718	-0.432103	0.100187	1.572266	-0.008301	-1.187744
24862		-6.461026	-4.177342	9.697298	0.533999	-0.252441	0.056383	1.557129	-0.010254	-1.162354
24863		-8.390199	-3.238275	8.602949	0.537361	-0.162711	0.170509	1.550781	-0.021240	-1.140625
24864		-7.225809	-2.970468	10.611617	0.470193	-0.057298	0.194785	1.542480	-0.027588	-1.123535
24865		-4.453653	-4.631240	10.772266	0.483795	0.140317	0.298288	1.529541	-0.034180	-1.095703
24866		-7.886530	0.453118	11.814053	0.416237	0.305398	0.312385	1.527832	-0.044922	-1.059082
24867		-8.671932	-0.000961	11.607598	0.349098	0.627105	0.292373	1.528076	-0.049072	-1.020508
24868		-4.913616	-1.258826	14.525748	0.236573	1.243529	0.397683	1.532715	-0.055420	-0.967041
24869		-5.753782	-5.816299	16.175732	0.408537	2.438008	0.469814	1.541748	-0.068115	-0.894043
24870		-2.228630	0.499314	18.314089	-0.032439	3.792546	0.631659	1.565918	-0.074463	-0.802002
24871		1.194974	-0.374117	17.073428	-0.273133	5.025218	0.876785	1.581543	-0.084717	-0.692627
24872		-1.028482	0.820146	15.521809	-0.547368	6.142479	1.140458	1.601807	-0.099609	-0.568115
24873		-2.699618	0.390553	13.640710	-0.582479	6.970035	1.407171	1.609131	-0.118652	-0.435303
24874		-3.632403	-2.761121	10.645630	-0.331448	7.674877	1.592033	1.622803	-0.133545	-0.287354
24875		-2.437773	-4.568647	9.550621	-0.091816	8.385573	1.766723	1.611084	-0.169922	-0.137207
24876		-5.962008	-7.967809	6.240386	0.168419	9.058384	2.233430	1.586182	-0.204346	0.030029
24877		-22.401473	-5.295419	6.258821	0.578351	8.751431	2.377308	1.548096	-0.234375	0.162842
24878		-22.243979	-0.057989	5.116690	0.330235	7.476823	2.350743	1.503662	-0.262451	0.280762
24879		-16.693999	1.842066	6.472432	-0.224926	6.452383	2.265214	1.452393	-0.290527	0.357910
24880		-14.194971	0.464397	6.671349	-0.357925	5.536365	2.068365	1.407227	-0.305664	0.432861
24881		-11.369221	-1.928693	6.709112	-0.282055	5.111724	2.022731	1.360107	-0.320801	0.490479
24882		-12.909757	-2.913041	8.312484	0.296798	4.467230	2.148142	1.319336	-0.338135	0.535645
24883		-11.952651	6.864703	15.793789	0.382603	3.624442	2.370373	1.283203	-0.359863	0.563477
24884		-11.886174	7.061682	19.858129	-0.932011	2.743801	2.717422	1.249512	-0.394531	0.578857
24885		-7.700896	2.577977	18.367432	-1.653210	2.294074	3.264406	1.215820	-0.433594	0.585938
24886		-7.712962	0.128065	18.435343	-1.883263	2.042717	3.567885	1.182373	-0.477295	0.590576
24887		-7.455602	-3.688062	16.964764	-1.797324	1.807613	3.784800	1.151367	-0.527100	0.591309
24888		-7.272474	-6.197534	16.452640	-1.288148	1.594212	3.894765	1.122314	-0.570557	0.596191
24889		-7.772239	-7.297285	16.032631	-0.691715	1.398749	3.836892	1.093018	-0.607666	0.601074
24890		-7.721969	-7.816341	15.886990	-0.133676	1.224299	3.587686	1.072510	-0.653076	0.612305
24891		-8.335021	-7.689599	16.224736	0.213685	1.174187	3.188114	1.049561	-0.679199	0.631836
24892		-9.711473	-8.970397	16.444317	0.409722	1.145543	2.678522	1.034912	-0.698730	0.645020
24893		-11.879623	-10.383290	16.429950	0.699361	0.992221	2.074569	1.024902	-0.724609	0.658203
24894		-13.884032	-10.711443	15.770032	1.127842	0.523453	1.377712	1.022949	-0.731201	0.675293
24895		-13.913522	-9.739378	15.015115	1.426133	-0.125448	0.611456	1.029297	-0.731201	0.686035
24896		-12.801364	-9.344195	13.486010	1.526774	-0.717160	-0.114576	1.053223	-0.730957	0.694824
24897		-10.399314	-8.573538	11.762357	1.541924	-1.241617	-0.734361	1.085693	-0.726563	0.701416
24898		-7.945177	-7.565412	10.412911	1.433641	-1.614024	-1.281401	1.130615	-0.707031	0.694824
24899		-6.650673	-7.048902	9.065170	1.259572	-1.912142	-1.724176	1.169434	-0.693848	0.692627
24900		-6.180231	-6.131952	8.416026	1.033531	-2.239067	-2.082060	1.225342	-0.671875	0.679688
24901		-5.581076	-5.312072	8.073340	0.698365	-2.608750	-2.383539	1.281250	-0.654541	0.651855
24902		-5.275160	-4.524722	8.091332	0.304041	-3.032590	-2.614523	1.345703	-0.632813	0.611328
24903		-6.187110	-3.514041	8.608064	-0.213609	-3.486552	-2.768163	1.410156	-0.613281	0.568604
24904		-9.071867	-2.899316	9.270902	-0.823432	-4.051917	-2.882727	1.478760	-0.589355	0.506592
24905		-12.873881	-2.653945	9.758872	-1.348825	-4.917695	-2.992045	1.549805	-0.567627	0.406006
24906		-13.606176	-2.050840	9.237956	-1.704070	-5.980033	-3.157066	1.620361	-0.541748	0.288330
24907		-10.657483	-1.311864	8.392517	-1.978399	-6.798682	-3.305308	1.682129	-0.502930	0.153320
24908		-7.469361	-0.022720	7.760172	-2.315430	-7.049672	-3.418045	1.734863	-0.457520	0.005371
24909		-6.356707	0.968486	7.513270	-2.641598	-6.846225	-3.488595	1.772461	-0.414551	-0.140625
24910		-7.014323	1.433838	8.065215	-2.902389	-6.566415	-3.463944	1.800781	-0.354248	-0.295410
24911		-9.024268	2.143060	9.134330	-3.050443	-6.427841	-3.386244	1.809814	-0.293701	-0.444092
24912		-11.833867	1.762946	9.821759	-3.009437	-6.498531	-3.276517	1.809814	-0.231445	-0.594727
24913		-14.618571	1.918414	10.921042	-2.788280	-6.597711	-3.146773	1.792480	-0.166748	-0.750000
24914		-19.409008	2.986063	12.108121	-2.519417	-6.720464	-3.117513	1.761963	-0.100098	-0.900879
24915		-25.387482	4.343369	11.873984	-2.227563	-6.994732	-3.237809	1.709961	-0.031250	-1.052002
24916		-30.269151	5.199789	9.341399	-1.868039	-7.329177	-3.508115	1.635742	0.046143	-1.211914
24917		-34.434301	5.937232	4.363959	-1.341910	-7.455731	-3.788820	1.550537	0.127930	-1.363525
24918		-37.271990	8.065013	-2.670850	-0.717705	-7.341409	-3.967557	1.441895	0.192383	-1.484863
24919		-36.437305	10.969393	-10.054521	-0.482910	-6.620558	-3.761755	1.344482	0.254639	-1.589111
24920		-35.194896	12.376356	-16.239823	-0.905396	-5.172487	-3.060676	1.260254	0.308350	-1.656738
24921		-36.166633	12.205326	-21.011453	-1.507129	-3.517331	-2.082766	1.204102	0.366699	-1.698730
24922		-37.742435	14.951298	-23.530899	-1.851310	-2.026232	-1.406474	1.170166	0.409912	-1.714600
24923		-39.306692	16.717680	-23.217727	-2.041269	-0.827656	-1.275909	1.153564	0.459717	-1.715576
24924		-34.156691	7.980007	-24.921066	-1.415255	-0.296112	-1.343462	1.155029	0.487793	-1.709473
24925		-27.239585	3.022745	-28.536349	0.922618	0.794452	-0.142841	1.182129	0.451172	-1.691650
24926		-29.678966	4.428476	-34.272472	3.310657	2.421632	1.924255	1.256836	0.347412	-1.653076
24927		-13.378605	18.351626	-10.038299	2.323119	5.737628	3.507147	1.383057	0.270020	-1.550781
24928		-41.961545	-5.116041	30.105166	0.195980	6.594567	3.677567	1.487549	0.194824	-1.439697
24929		-23.737685	-18.772433	28.965007	2.586643	4.742497	3.196532	1.557617	0.108398	-1.361084
24930		-23.267257	-1.369263	26.159436	2.978112	3.568159	1.975108	1.594482	0.039307	-1.284668
24931		-11.794130	18.712658	10.957663	1.797236	1.734147	2.391769	1.595947	-0.010498	-1.245361
24932		-27.692242	7.757752	1.162761	0.637233	-0.557251	1.598111	1.572998	-0.036377	-1.230225
24933		-13.836314	4.502604	8.071867	0.649035	-0.939450	0.395778	1.553711	-0.049561	-1.221436
24934		1.432895	-4.215962	12.716182	0.658508	-0.733040	0.309842	1.536377	-0.047363	-1.202393
24935		-6.225272	-5.482985	8.685555	0.817505	-0.692498	0.250544	1.519287	-0.056152	-1.191650
24936		-14.305514	0.958316	10.807811	0.810281	-0.770569	0.181286	1.501953	-0.060303	-1.176758
24937		-5.845365	-1.347623	13.126929	0.590951	-0.424815	0.075553	1.491211	-0.060303	-1.153076
24938		-7.976268	-1.229419	12.013273	0.427852	-0.138946	0.088750	1.484863	-0.062500	-1.131836
24939		-6.172818	-0.235334	11.291573	0.269224	0.050135	0.013307	1.480469	-0.064697	-1.099609
24940		-5.089979	-1.374588	11.296037	0.158597	0.355045	-0.024690	1.476074	-0.062256	-1.065674
24941		-9.141777	-2.098425	11.466826	0.074302	0.515689	-0.047060	1.471924	-0.060059	-1.033447
24942		-7.299147	-3.185613	10.594684	0.044860	0.777727	0.005891	1.471924	-0.062256	-0.984375
24943		-5.549306	-6.483431	12.659614	0.199428	1.390031	0.097315	1.478760	-0.066406	-0.932861
24944		-4.148168	-2.047539	16.949235	0.151513	2.696204	0.302834	1.491699	-0.066162	-0.857910
24945		0.132306	-5.873378	18.525313	-0.201376	4.129774	0.515290	1.507568	-0.076660	-0.757324
24946		0.253428	-4.275746	16.204598	-0.163669	5.242575	0.875102	1.531738	-0.084961	-0.645752
24947		-1.540002	-0.478377	14.136655	-0.240374	6.279703	1.347362	1.547852	-0.108398	-0.523438
24948		-4.134414	-0.185624	12.803950	-0.171320	7.003873	1.752957	1.559570	-0.136230	-0.392578
24949		-5.381909	-1.123915	9.421708	0.120834	7.463153	1.842456	1.556152	-0.155273	-0.259521
24950		-3.734448	-3.562534	7.597407	0.204724	7.905894	1.996295	1.544189	-0.185303	-0.111572
24951		-14.150721	-6.195233	7.415485	0.626989	8.191105	2.368730	1.514893	-0.217529	0.012939
24952		-22.423230	-3.750549	5.757957	0.991526	7.342590	2.313688	1.476563	-0.241211	0.128418
24953		-20.007624	-1.518844	6.032716	0.674113	6.248075	2.177931	1.440674	-0.267090	0.216309
24954		-16.419111	-4.183945	6.455260	0.488749	5.230342	2.454524	1.400146	-0.290771	0.280762
24955		-9.470293	-1.036886	5.336364	0.132716	4.523360	2.354468	1.357666	-0.316895	0.332275
24956		-7.610084	-1.645461	4.275199	-0.183533	4.314943	2.536189	1.319336	-0.340820	0.375244
24957		-7.061929	0.189035	5.481599	-0.238010	4.071242	2.926271	1.274414	-0.368896	0.418213
24958		-9.511638	3.795159	10.713272	-0.754536	3.727345	3.105721	1.240967	-0.403564	0.446533
24959		-10.050309	1.354502	14.084780	-1.427100	3.226859	3.223592	1.196289	-0.438477	0.474609
24960		-8.657593	-1.449168	14.750879	-1.482383	2.870883	3.331023	1.158447	-0.477539	0.483643
24961		-9.553495	-3.905985	16.020661	-1.239017	2.666992	3.362089	1.126709	-0.510254	0.492676
24962		-9.634875	-6.604034	16.452343	-0.747691	2.412097	3.354826	1.095215	-0.544922	0.508057
24963		-8.578392	-7.222259	17.545105	-0.148595	2.231492	3.302770	1.067871	-0.575195	0.527588
24964		-7.877919	-6.731505	18.352418	0.256262	2.182991	3.120213	1.038574	-0.605713	0.551514
24965		-7.717059	-6.680482	18.715743	0.529998	2.141778	2.871460	1.019531	-0.625244	0.571045
24966		-8.180229	-6.345320	19.738702	0.750201	2.111687	2.599416	0.996338	-0.644775	0.592529
24967		-11.740099	-7.581978	21.141687	1.004350	1.959803	2.434534	0.970703	-0.664307	0.620605
24968		-15.843451	-9.960893	21.682090	1.556439	1.380958	2.322035	0.956299	-0.683838	0.650635
24969		-17.220853	-10.138492	21.851159	2.271282	0.446930	2.082224	0.952148	-0.690186	0.669922
24970		-15.773558	-6.990269	21.421558	2.544679	-0.588686	1.475526	0.961182	-0.698730	0.689453
