// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B4406D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
24843		0.750828	3.410796	2.181813	-3.203212	-3.028781	1.661900	-1.596924	-0.073730	-0.417725
24844		5.549153	7.779337	2.520012	-4.443126	-2.493919	1.527005	-1.609619	-0.039795	-0.373535
24845		10.203453	11.129077	8.994244	-2.181589	-2.613149	0.505831	-1.627930	-0.035400	-0.320068
24846		19.449285	10.951742	14.689067	0.664447	-3.075369	-1.184332	-1.638916	-0.057861	-0.270264
24847		34.257446	6.236818	19.589770	2.804227	0.555174	-2.230854	-1.629883	-0.116455	-0.316162
24848		30.226567	-0.964019	23.573019	2.710735	5.226853	-2.132983	-1.598877	-0.152588	-0.405029
24849		14.355145	-3.847093	19.240735	0.860121	5.308384	-2.074432	-1.583740	-0.190918	-0.479248
24850		1.133532	-3.091139	14.750458	-1.605039	3.219959	-2.176920	-1.564453	-0.215576	-0.527832
24851		-8.794131	-2.565286	9.159792	-3.727216	0.788142	-2.283573	-1.568604	-0.224609	-0.540527
24852		-13.886913	-3.430924	-2.294714	-5.599822	-0.237041	-2.221406	-1.575195	-0.229248	-0.549072
24853		-16.298434	-8.715474	-30.589999	-3.443663	-0.257877	-1.453415	-1.579590	-0.231445	-0.546875
24854		-11.261627	-10.314250	-41.169937	2.984506	-0.238363	0.521524	-1.588623	-0.236084	-0.540527
24855		-5.805382	-16.266288	-38.903465	6.335347	-1.370052	2.480001	-1.618896	-0.218018	-0.468262
24856		-2.928439	-7.959158	9.589861	3.519328	-3.135406	2.777495	-1.639648	-0.213623	-0.449463
24857		46.345396	44.280814	81.903024	1.866545	3.701754	-5.091595	-1.634521	-0.301270	-0.438721
24858		63.783632	18.874279	-45.939576	0.703089	-9.150169	-1.214878	-1.668945	-0.310303	-0.288330
24859		38.386885	7.491232	-27.361245	4.948397	-0.868565	1.828845	-1.671875	-0.285645	-0.321289
24860		17.651735	0.133105	-15.102050	1.087373	6.335514	1.549655	-1.640137	-0.267578	-0.424561
