// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B4406D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
46467		12.620556	2.815153	0.631173	0.653591	-0.189752	0.194419	-1.199951	0.485352	0.519287
46468		13.102197	2.443297	0.630635	0.462038	-0.076380	0.145069	-1.199707	0.483154	0.523682
46469		13.281255	1.919865	0.813365	0.369811	0.019078	0.067126	-1.202148	0.485352	0.525635
46470		13.223786	1.551591	1.395345	0.046446	0.278393	0.018215	-1.206543	0.485352	0.512695
46471		13.219385	0.625988	1.362173	-0.279576	0.587136	0.008462	-1.206543	0.485352	0.510498
46472		13.049808	-0.116273	1.398120	-0.366376	0.903778	-0.011543	-1.210693	0.478516	0.497803
46473		12.665794	-0.336394	2.287428	-0.548554	1.197296	-0.024987	-1.221924	0.471924	0.489258
46474		12.167945	-0.110731	2.966102	-0.943443	1.561934	-0.080729	-1.235107	0.462646	0.474121
46475		11.638532	0.100338	0.897926	-0.903506	2.051052	-0.139726	-1.243652	0.455811	0.448242
46476		10.725743	-0.038830	-0.260193	-0.460332	2.467551	-0.126009	-1.250244	0.451416	0.414063
46477		11.848819	-1.191343	-1.127856	-0.163836	2.600684	-0.107949	-1.265625	0.444580	0.377197
46478		12.401859	-1.059928	-2.240122	0.173546	2.721025	-0.180413	-1.274414	0.444336	0.347168
46479		12.005574	-0.622143	-3.061630	0.143830	2.709787	-0.304663	-1.287354	0.435303	0.302002
46480		11.497225	-0.647781	-3.245540	-0.210960	2.613306	-0.397313	-1.298340	0.430664	0.271729
46481		11.396247	-0.219171	-2.975154	-0.519548	2.550289	-0.455835	-1.304688	0.417236	0.243896
46482		11.377941	-0.014135	-2.421300	-0.912334	2.636339	-0.501445	-1.315186	0.401367	0.214111
46483		11.424274	-0.395750	-2.091033	-1.213511	2.729760	-0.515441	-1.319336	0.392090	0.179932
46484		11.662980	-0.757965	-1.786887	-1.411010	2.764692	-0.523672	-1.330078	0.385254	0.143311
46485		12.256966	-1.061235	-1.562123	-1.565225	2.707021	-0.425069	-1.331787	0.367188	0.115723
46486		12.631655	-1.878527	-1.360006	-1.628006	2.647071	-0.314129	-1.342529	0.355957	0.081543
46487		12.446174	-2.074604	-1.572704	-1.381860	2.603612	-0.212899	-1.337646	0.355957	0.051270
46488		11.932196	-2.108714	-1.585496	-0.981956	2.508518	-0.103544	-1.337402	0.346924	0.025879
46489		11.256759	-1.408441	-1.365419	-0.542240	2.403441	-0.042505	-1.336914	0.340088	-0.008545
46490		10.821584	-1.266450	-1.020450	-0.324644	2.281308	-0.053912	-1.336914	0.344482	-0.038574
46491		10.759412	-0.699603	-0.755856	-0.295364	2.231981	-0.117820	-1.334229	0.337646	-0.057861
46492		10.603028	1.761911	-0.010422	-0.599836	2.278249	-0.098248	-1.331543	0.330811	-0.094238
46493		10.041279	1.564725	-0.520343	-1.327825	2.313435	-0.144744	-1.329102	0.326416	-0.124023
46494		9.457180	0.374371	-1.024440	-1.655407	2.332542	-0.111494	-1.319824	0.324219	-0.151855
46495		9.336965	-0.162218	-1.514293	-1.673310	2.245667	-0.037011	-1.322021	0.328613	-0.171387
46496		9.004868	-0.651733	-1.621789	-1.688520	2.141165	0.042172	-1.317383	0.323975	-0.199219
46497		8.615981	-1.333715	-1.304528	-1.634323	2.009668	0.036176	-1.308105	0.326172	-0.222656
46498		8.548444	-1.919302	-1.094647	-1.572791	1.924466	0.077319	-1.308105	0.326172	-0.244141
46499		8.771715	-1.446679	-0.452583	-1.397009	1.847172	0.067462	-1.296875	0.333008	-0.263672
46500		8.716568	-0.604103	0.133566	-1.300114	1.790352	0.065165	-1.292480	0.337402	-0.280762
46501		8.374601	-0.701860	0.278319	-1.196608	1.739994	0.065934	-1.287598	0.333008	-0.295654
46502		7.824527	-0.379254	0.762485	-0.986040	1.649259	0.032275	-1.280762	0.335205	-0.314941
46503		7.591864	-0.355548	1.201233	-0.918619	1.515629	-0.028519	-1.274170	0.337402	-0.330078
46504		7.217259	-0.001010	1.301963	-0.838934	1.402203	-0.090869	-1.267334	0.339844	-0.347168
46505		7.242352	0.924980	1.146861	-0.926340	1.250792	-0.152126	-1.267090	0.337402	-0.360107
46506		7.097860	0.631924	1.000133	-1.064101	1.138954	-0.164532	-1.260254	0.337402	-0.368652
46507		6.948014	0.456577	1.085601	-1.079650	1.018143	-0.183787	-1.260254	0.335205	-0.381348
46508		6.887405	-0.171229	1.060627	-1.028777	0.872234	-0.190180	-1.255615	0.335205	-0.385498
46509		6.882938	-0.649955	1.125103	-0.966802	0.724290	-0.202441	-1.253418	0.335205	-0.394287
46510		6.929361	-1.072542	1.219392	-0.927369	0.585074	-0.207186	-1.258057	0.339600	-0.394287
46511		6.910354	-1.283717	1.318599	-0.865238	0.462859	-0.193052	-1.255859	0.342041	-0.396484
46512		6.905855	-1.435463	1.459146	-0.781607	0.360154	-0.186500	-1.255859	0.344238	-0.392334
46513		6.823636	-1.560670	1.669735	-0.690567	0.255591	-0.182686	-1.260254	0.344238	-0.400879
46514		6.789728	-1.599751	1.828239	-0.617769	0.141309	-0.175816	-1.255859	0.342041	-0.403076
46515		6.936551	-1.518040	2.012342	-0.593597	0.031990	-0.158140	-1.258057	0.344238	-0.396729
46516		6.962028	-1.510377	2.075462	-0.605728	-0.056726	-0.136096	-1.260498	0.344238	-0.390137
46517		7.049930	-1.557472	2.119820	-0.645222	-0.127460	-0.100947	-1.262939	0.351074	-0.390381
46518		7.108640	-1.707480	1.910984	-0.676523	-0.174844	-0.069486	-1.260742	0.351074	-0.385986
46519		7.174940	-2.087232	1.548008	-0.598180	-0.259088	-0.039523	-1.267578	0.351074	-0.384033
46520		7.359196	-2.130277	1.666407	-0.412288	-0.331290	-0.017831	-1.263428	0.362305	-0.375732
46521		7.719294	-2.079855	2.067635	-0.290264	-0.356164	-0.038733	-1.270020	0.359863	-0.369141
46522		7.799006	-1.687672	2.668180	-0.176902	-0.300627	-0.088767	-1.272461	0.362305	-0.362793
46523		7.641078	-1.179104	3.343301	-0.135585	-0.259590	-0.139166	-1.274658	0.362305	-0.356445
46524		8.148777	-1.070465	3.872350	-0.160984	-0.276932	-0.152976	-1.283691	0.362305	-0.356689
46525		8.314656	-1.115555	3.900866	-0.116497	-0.252666	-0.188718	-1.281494	0.362305	-0.354492
46526		8.571088	-0.895738	4.136843	0.028156	-0.243973	-0.232395	-1.283691	0.359863	-0.350098
46527		9.173871	-0.669900	4.748543	0.093947	-0.191121	-0.269019	-1.285889	0.351074	-0.343506
46528		9.357806	-0.813259	5.620747	0.066452	-0.077214	-0.291514	-1.281250	0.355469	-0.347900
46529		9.669681	-1.151996	6.080185	-0.016427	-0.078257	-0.330716	-1.290527	0.355469	-0.341553
46530		9.746818	-1.096244	5.815810	-0.022901	-0.102160	-0.376695	-1.292236	0.344238	-0.341309
46531		10.017885	-1.030414	5.942309	-0.048768	-0.098798	-0.419075	-1.299072	0.339600	-0.330566
46532		10.212794	-0.916343	6.356438	-0.083646	-0.003823	-0.458128	-1.303467	0.341797	-0.341309
46533		10.167966	-0.640505	6.668632	-0.203244	0.050534	-0.465684	-1.298828	0.335205	-0.341064
46534		10.174746	-0.382194	7.030618	-0.377824	0.050556	-0.438271	-1.310059	0.330566	-0.339111
46535		10.187716	-0.328995	7.147711	-0.526094	0.053444	-0.399774	-1.305420	0.328369	-0.343262
46536		9.998749	-0.367776	7.268707	-0.664171	0.090100	-0.366572	-1.305420	0.328369	-0.336670
46537		9.564398	-0.471283	7.256906	-0.776746	0.096404	-0.356421	-1.305420	0.326172	-0.330322
46538		8.827695	-0.643775	7.012828	-0.791807	0.028125	-0.358242	-1.309814	0.323975	-0.332520
46539		8.102848	-0.719783	6.878668	-0.800211	-0.117787	-0.383591	-1.312012	0.321533	-0.330322
46540		7.206931	-0.902861	6.976654	-0.693845	-0.184052	-0.398922	-1.309570	0.319336	-0.327881
46541		6.087200	-1.237486	6.244593	-0.461163	-0.317773	-0.391070	-1.316406	0.312500	-0.314941
46542		6.544574	-2.441118	4.507063	-0.180802	-0.607440	-0.326950	-1.318359	0.303711	-0.308350
46543		9.484748	-3.223193	2.527454	-0.088325	-1.058115	-0.240238	-1.320801	0.310303	-0.293457
46544		13.298927	-4.257890	1.730806	-0.119329	-1.303614	-0.196763	-1.329834	0.308105	-0.280762
46545		16.118118	-3.803189	2.581358	-0.464388	-1.134748	-0.201036	-1.334473	0.310303	-0.263672
46546		18.018655	-2.941068	2.841563	-0.652918	-0.682829	-0.105097	-1.325439	0.305908	-0.254883
46547		18.380990	-2.422069	2.272288	-0.478336	-0.089258	0.023307	-1.336914	0.312744	-0.255127
46548		15.938764	-3.625182	2.480011	-0.343594	0.504076	0.071438	-1.327881	0.310303	-0.261475
46549		11.254942	-4.801379	2.677206	0.026597	0.744540	0.117220	-1.323242	0.310303	-0.271973
46550		7.099700	-4.117399	1.772026	0.863089	0.176002	0.213812	-1.321045	0.310303	-0.276367
46551		5.330264	-1.834539	0.139490	1.440760	-0.636702	0.169555	-1.318604	0.303711	-0.271729
46552		4.709639	0.904560	-0.358653	1.458702	-1.110371	-0.092966	-1.318359	0.299072	-0.258789
46553		4.921949	3.398747	0.388056	1.211749	-1.264409	-0.419057	-1.324951	0.285645	-0.239258
46554		6.150036	5.072387	1.289833	1.018231	-1.294590	-0.633664	-1.326904	0.276611	-0.226074
46555		7.853462	5.724744	1.288685	0.939453	-1.375262	-0.653081	-1.329102	0.270020	-0.215332
46556		9.726168	4.831728	0.656681	0.825465	-1.370505	-0.469620	-1.335449	0.256348	-0.189209
46557		11.350192	3.491653	0.371905	0.653053	-1.240204	-0.221407	-1.340088	0.258789	-0.176514
46558		12.185425	2.254967	0.453871	0.313949	-1.016071	0.030384	-1.335693	0.256348	-0.165527
46559		12.072937	0.977339	0.353003	-0.023338	-0.773897	0.165036	-1.337891	0.258789	-0.150635
46560		11.025680	0.067119	0.670347	-0.182358	-0.634855	0.156020	-1.342773	0.260986	-0.139893
46561		9.361602	-0.575388	1.091933	-0.262534	-0.703321	0.039141	-1.344971	0.260986	-0.131348
46562		7.857729	-0.878583	1.534934	-0.251376	-0.953358	-0.146724	-1.344971	0.260986	-0.114258
46563		7.195080	-0.696679	1.605151	-0.074382	-1.232734	-0.317032	-1.349609	0.256592	-0.099121
46564		7.350130	-0.740029	1.222435	0.114715	-1.468219	-0.412603	-1.347168	0.249756	-0.081787
46565		8.009973	-0.769823	0.904384	0.353933	-1.635037	-0.422099	-1.349121	0.240723	-0.057861
46566		8.976149	-0.637427	0.661738	0.483098	-1.725848	-0.399940	-1.355957	0.236328	-0.031982
46567		9.489777	-0.748335	0.508893	0.626468	-1.712167	-0.340588	-1.360596	0.236328	-0.008545
46568		10.073983	0.092505	0.143985	0.647106	-1.636960	-0.276776	-1.351563	0.231934	0.013184
46569		9.972481	0.315189	-0.320523	0.674201	-1.454114	-0.192249	-1.351807	0.234131	0.028320
46570		9.766817	1.401523	-0.507411	0.660689	-1.263942	-0.175834	-1.355957	0.225098	0.039063
46571		9.091077	1.671918	-0.472195	0.500155	-1.084569	-0.171057	-1.351807	0.231934	0.060547
46572		8.378364	-0.068207	-0.229516	0.456896	-1.087347	-0.166344	-1.356201	0.227539	0.069336
46573		8.361195	0.157227	0.369636	0.512068	-1.216767	-0.218423	-1.354248	0.229736	0.086426
46574		8.737056	0.585889	0.325333	0.520256	-1.385485	-0.322004	-1.349365	0.218506	0.110352
46575		9.065326	0.469433	-0.156175	0.579957	-1.550060	-0.364626	-1.351563	0.216309	0.134033
46576		9.647818	0.347746	-0.339295	0.802131	-1.702426	-0.323264	-1.356445	0.216309	0.157715
46577		10.107561	0.019508	-0.651490	0.978622	-1.751796	-0.256467	-1.349609	0.214111	0.183594
46578		10.284008	0.058341	-0.725220	1.049929	-1.692068	-0.182746	-1.340820	0.220947	0.205078
46579		10.039365	-0.158024	-0.784245	1.018349	-1.558677	-0.159981	-1.345215	0.214111	0.222412
46580		9.656767	0.284580	-0.372879	0.936204	-1.475243	-0.102242	-1.336670	0.220947	0.241699
46581		9.601481	0.127251	-0.578734	0.977273	-1.410192	-0.050748	-1.343506	0.220947	0.258789
46582		9.293546	0.487089	-0.691218	1.074979	-1.366093	-0.069306	-1.334473	0.223389	0.273926
46583		9.671983	0.997695	-0.891610	1.091149	-1.390403	-0.084224	-1.330322	0.232422	0.291016
46584		10.306307	1.798502	-0.646679	1.122346	-1.425242	-0.047690	-1.332764	0.234619	0.310303
46585		10.672301	1.499295	-1.044239	1.215202	-1.390812	-0.029907	-1.323975	0.232422	0.327637
46586		10.524893	1.630404	-1.174273	1.245240	-1.205096	-0.006337	-1.322021	0.241455	0.338379
46587		9.799162	1.104295	-1.129479	1.164682	-1.100504	-0.007410	-1.317627	0.248291	0.351074
46588		9.664289	1.118129	-1.428531	1.063919	-1.057752	-0.033198	-1.309082	0.255127	0.364014
46589		9.437644	1.119791	-1.901265	1.033358	-0.976333	-0.041396	-1.304688	0.261963	0.374756
46590		9.393224	0.778029	-2.390338	0.993341	-0.950547	-0.032360	-1.311768	0.264160	0.387451
46591		9.627757	0.497187	-2.522403	0.941123	-0.958608	0.000830	-1.307129	0.266357	0.395996
46592		9.733498	-0.220270	-2.146604	0.706198	-0.927388	-0.008537	-1.305176	0.270996	0.406738
46593		9.367216	-0.441828	-1.289144	0.577983	-0.886771	-0.012022	-1.294189	0.277832	0.421631
46594		9.162604	-0.551194	-0.568288	0.581319	-0.868096	-0.008101	-1.294434	0.282227	0.432373
46595		9.019717	-0.548359	-0.396473	0.774424	-0.849052	0.021717	-1.289795	0.277832	0.436768
46596		9.195274	-0.286122	-0.866256	0.974305	-0.840507	0.074446	-1.281250	0.293457	0.447266
46597		9.479234	-0.035197	-1.590442	1.102142	-0.840152	0.135002	-1.281494	0.300293	0.453613
46598		9.771911	0.211831	-2.278901	1.069693	-0.875764	0.186314	-1.275146	0.309326	0.462158
46599		9.875179	0.331068	-2.673956	0.942841	-0.941606	0.199028	-1.277588	0.316162	0.477051
46600		9.928713	0.319442	-2.578761	0.865629	-0.992984	0.185078	-1.264404	0.322998	0.481445
46601		10.089250	0.454626	-2.029561	0.852344	-0.993325	0.166827	-1.258057	0.334229	0.498291
46602		10.214485	0.582978	-1.453013	0.833545	-0.934841	0.153567	-1.253662	0.341064	0.500488
46603		10.356384	0.597307	-1.018460	0.845150	-0.860051	0.146882	-1.245117	0.352295	0.515381
46604		10.469116	0.589894	-0.691858	0.852577	-0.795349	0.144874	-1.247559	0.354736	0.519531
46605		10.399099	0.376781	-0.606887	0.861938	-0.770398	0.153608	-1.243164	0.361328	0.523682
46606		10.294425	0.283105	-0.671134	0.879908	-0.769328	0.168230	-1.236816	0.368164	0.530273
46607		10.192605	0.282542	-0.966731	0.912378	-0.758758	0.201755	-1.232666	0.377197	0.540771
46608		10.235266	0.436428	-1.364623	0.978463	-0.716087	0.235679	-1.224121	0.395264	0.540527
46609		10.480152	0.744236	-1.632399	1.064785	-0.662691	0.261587	-1.219727	0.399902	0.542480
46610		10.697115	1.153459	-1.463259	1.126471	-0.614498	0.267387	-1.220215	0.413330	0.550781
46611		10.957438	1.286333	-1.233730	1.079969	-0.585591	0.250947	-1.213623	0.417969	0.550781
46612		10.935370	1.024053	-0.883516	0.970695	-0.548851	0.240149	-1.211670	0.429199	0.552734
46613		10.784125	0.870881	-0.336995	0.858816	-0.469403	0.187275	-1.209717	0.438232	0.550293
46614		10.641079	0.595807	-0.304067	0.862755	-0.422091	0.181371	-1.207764	0.444824	0.554688
46615		10.379966	0.858016	-0.248160	0.952988	-0.353720	0.207294	-1.207764	0.447266	0.554443
46616		10.465027	1.669130	-0.241202	0.992482	-0.297537	0.232319	-1.201416	0.458496	0.554443
46617		11.431328	2.478937	-0.116919	0.947137	-0.220960	0.242110	-1.197021	0.465332	0.556396
46618		12.019103	2.877162	0.095327	0.600246	-0.141773	0.192523	-1.195068	0.471924	0.547607
46619		12.435268	2.449046	-0.104927	0.323341	-0.160876	0.096726	-1.201904	0.474121	0.551758
46620		12.952530	2.107855	-0.552817	0.141159	0.014549	-0.001266	-1.206299	0.471924	0.547607
46621		12.782149	1.234227	-0.667244	-0.263521	0.369670	-0.069739	-1.203857	0.469727	0.543213
46622		12.728030	0.295546	-0.288759	-0.444149	0.626315	-0.110775	-1.212891	0.469727	0.534424
46623		12.833256	-0.051708	0.577007	-0.492509	0.960769	-0.135721	-1.219238	0.456055	0.530518
46624		12.653597	0.118868	1.516721	-0.758502	1.337148	-0.170167	-1.232666	0.451416	0.508789
46625		12.328402	-0.057127	1.346518	-1.126595	1.728621	-0.254084	-1.241211	0.437988	0.493896
46626		12.391873	-0.609996	-1.670711	-0.707888	2.203186	-0.321126	-1.254150	0.428955	0.466064
46627		12.009350	-1.648128	-1.928075	-0.382765	2.498173	-0.261936	-1.271973	0.426514	0.437988
46628		13.088969	-3.595953	-1.963078	-0.372442	2.530855	-0.288912	-1.280762	0.419678	0.399170
46629		12.857760	-3.171841	-2.639404	0.020059	2.680263	-0.350324	-1.295898	0.408203	0.358398
46630		12.468728	-2.630153	-3.220724	-0.064670	2.677949	-0.389731	-1.302246	0.396973	0.326172
46631		12.054739	-1.454003	-2.973776	-0.225834	2.574889	-0.421542	-1.312988	0.390137	0.296143
46632		12.093147	-0.755790	-2.849334	-0.312110	2.538870	-0.453151	-1.323975	0.383301	0.261719
46633		12.058477	0.297954	-2.296744	-0.468813	2.619772	-0.486708	-1.328125	0.374268	0.231689
46634		11.758788	0.853965	-1.977430	-0.790038	2.696727	-0.516751	-1.340820	0.358398	0.191162
46635		11.504058	0.870119	-1.827643	-1.031146	2.709454	-0.531214	-1.342529	0.346924	0.161133
46636		11.584487	0.395042	-1.607630	-1.303452	2.658027	-0.442443	-1.346680	0.337891	0.129150
46637		11.241979	-0.978655	-1.323712	-1.447342	2.614613	-0.305973	-1.352783	0.322021	0.092773
46638		11.307128	-1.021312	-1.100537	-1.301752	2.526194	-0.180458	-1.350342	0.322021	0.062744
46639		11.207441	-1.789209	-1.484994	-0.983908	2.466283	-0.131127	-1.350098	0.319824	0.030518
46640		10.986114	-0.616955	-1.273296	-0.694718	2.420652	-0.098453	-1.358643	0.310791	0.000488
46641		10.577433	-0.171377	-1.311791	-0.642540	2.423810	-0.088187	-1.353760	0.306152	-0.029297
46642		10.703068	0.813279	-1.001109	-0.641919	2.391253	-0.078230	-1.348877	0.299316	-0.061523
46643		10.864149	0.410591	-1.272930	-0.799926	2.446039	-0.195335	-1.348633	0.297119	-0.091553
46644		10.324141	1.534282	-1.044852	-0.898993	2.517970	-0.314280	-1.345947	0.290283	-0.121338
46645		10.287820	2.201931	-0.750025	-1.319140	2.417067	-0.264190	-1.345459	0.281250	-0.157715
46646		9.952634	1.079227	-0.970874	-1.506801	2.364003	-0.213172	-1.338623	0.283447	-0.185547
46647		9.600488	0.526512	-1.233068	-1.539274	2.289645	-0.144216	-1.329346	0.283447	-0.213379
46648		8.648058	-0.262511	-0.973009	-1.547807	2.187745	-0.126407	-1.320313	0.281250	-0.234863
46649		8.278317	-1.087906	-0.590190	-1.483825	1.997644	-0.131643	-1.319824	0.276611	-0.258301
46650		8.495320	-0.247878	-0.348962	-1.435881	1.848845	-0.143059	-1.310791	0.278809	-0.279785
46651		8.552251	-0.536209	-0.670560	-1.545577	1.780832	-0.137881	-1.306152	0.276611	-0.301025
46652		8.297387	-0.087152	-0.749631	-1.613355	1.757348	-0.116561	-1.299316	0.278809	-0.320313
46653		7.555920	-0.037467	-0.345719	-1.517725	1.674093	-0.098194	-1.292480	0.278809	-0.337402
46654		6.966128	-0.198772	0.017145	-1.356469	1.511667	-0.063390	-1.290283	0.285645	-0.354736
46655		6.429091	-0.484726	0.256155	-1.082299	1.332532	-0.061935	-1.281250	0.287842	-0.369873
46656		5.981266	-0.599212	0.439277	-0.798124	1.121131	-0.072522	-1.276611	0.285645	-0.376221
46657		5.889895	-0.581786	0.473323	-0.582412	0.902387	-0.072783	-1.279053	0.287842	-0.384766
46658		5.715721	-0.686506	0.542209	-0.444706	0.701377	-0.083309	-1.276611	0.287842	-0.391357
46659		5.707083	-0.390614	0.647962	-0.381051	0.511668	-0.107921	-1.278809	0.283203	-0.395508
46660		5.939907	-0.378982	0.771222	-0.413476	0.320067	-0.116704	-1.272217	0.290039	-0.397705
46661		5.599929	-0.730909	0.895604	-0.398707	0.175059	-0.110361	-1.274170	0.281006	-0.395264
46662		5.542208	-0.757218	1.137553	-0.374546	-0.022673	-0.090272	-1.276611	0.287842	-0.395508
46663		5.609163	-0.816940	1.175856	-0.365340	-0.219336	-0.080240	-1.278809	0.287842	-0.391357
46664		5.686900	-0.735488	1.297080	-0.403686	-0.397279	-0.063790	-1.279053	0.290039	-0.385010
46665		5.615619	-0.641733	1.449509	-0.509324	-0.557186	-0.037330	-1.283691	0.294678	-0.376465
46666		5.587753	-0.674986	1.428470	-0.612457	-0.696241	-0.006642	-1.283936	0.296875	-0.363525
46667		5.746173	-0.930000	1.256190	-0.601839	-0.791157	0.031129	-1.295410	0.303711	-0.353271
46668		6.285694	-1.220195	1.272560	-0.504611	-0.857885	0.067986	-1.300049	0.303711	-0.338135
46669		6.897094	-1.305474	1.198102	-0.377454	-0.868826	0.080976	-1.304932	0.310303	-0.325439
46670		7.947506	-1.213262	1.659166	-0.224982	-0.875835	0.133057	-1.307617	0.321533	-0.312988
46671		8.555177	-0.917795	2.612580	-0.142123	-0.830285	0.178511	-1.314209	0.319336	-0.308838
46672		9.404147	-0.763681	3.929162	-0.147001	-0.774765	0.208969	-1.312256	0.323975	-0.293701
46673		10.437190	-0.808578	5.726780	-0.172992	-0.637389	0.193502	-1.314697	0.330566	-0.281006
46674		11.259516	-0.435889	7.524597	-0.332390	-0.391233	0.152087	-1.324219	0.337402	-0.277100
46675		11.607648	-0.593036	8.827248	-0.565608	-0.094860	0.120609	-1.326416	0.337402	-0.279297
46676		11.587848	-1.108425	9.592673	-0.518984	0.143622	0.108699	-1.324219	0.342041	-0.274902
46677		11.998737	-1.737019	9.763749	-0.367337	0.328551	0.128612	-1.322266	0.350830	-0.283691
46678		12.812243	-2.373658	9.330324	-0.233896	0.368317	0.137134	-1.320068	0.355469	-0.288086
46679		13.428999	-2.726007	8.409164	-0.153719	0.472133	0.067801	-1.320313	0.359863	-0.292480
46680		12.413128	-2.355598	7.434896	-0.206772	0.590387	-0.020214	-1.317871	0.355469	-0.294678
46681		10.793586	-1.820015	6.562847	-0.246059	0.533599	-0.085378	-1.317627	0.353271	-0.309570
46682		9.381611	-1.042352	6.499027	-0.346637	0.486931	-0.125175	-1.315186	0.348633	-0.315918
46683		8.215705	-0.844864	5.778308	-0.608720	0.441957	-0.172273	-1.310791	0.353271	-0.311523
46684		7.577747	-0.842211	4.042982	-0.856514	0.369242	-0.230955	-1.312988	0.348633	-0.326660
46685		6.744032	-0.995144	1.897158	-1.053602	0.302238	-0.265686	-1.315430	0.353271	-0.320313
46686		6.327290	-0.911643	-0.195017	-1.294195	0.142971	-0.266238	-1.317871	0.357666	-0.316162
46687		7.552659	-1.339896	-0.354992	-1.399165	-0.103032	-0.239209	-1.320068	0.357666	-0.313965
46688		9.708225	-1.960493	-0.351043	-1.146319	-0.469004	-0.248920	-1.320068	0.353271	-0.298828
46689		12.590868	-1.897678	0.373250	-0.550550	-0.722489	-0.299229	-1.324463	0.353271	-0.288086
46690		14.508394	-1.355468	2.841705	-0.438172	-0.733871	-0.316631	-1.331299	0.353271	-0.279785
46691		15.473539	-1.778821	4.550985	-0.500200	-0.721052	-0.269158	-1.329102	0.350830	-0.264648
46692		16.448549	-2.891876	4.255738	-0.221463	-0.646505	-0.172723	-1.331299	0.350830	-0.260254
46693		15.916444	-4.308646	4.262059	-0.216180	-0.325037	-0.121808	-1.324707	0.351074	-0.255859
46694		12.442202	-5.994280	4.846346	-0.314882	0.105393	-0.170952	-1.328857	0.342041	-0.257813
46695		8.114809	-5.563775	4.646117	-0.029425	0.143174	-0.170565	-1.322021	0.342041	-0.260010
46696		6.074704	-4.010016	1.682374	0.534274	-0.173187	-0.152224	-1.323975	0.328369	-0.259521
46697		5.345364	-1.364815	-1.309399	0.939980	-0.472425	-0.220306	-1.328369	0.328369	-0.253174
46698		5.501732	0.667198	-3.115016	0.882973	-0.687777	-0.350956	-1.325928	0.319336	-0.248779
46699		6.792947	2.703384	-2.769000	0.554474	-0.832554	-0.504049	-1.327881	0.308105	-0.231201
46700		8.031200	3.621610	-1.021861	0.091834	-0.916025	-0.627933	-1.327881	0.303711	-0.229004
46701		8.931597	4.486190	0.543567	0.121563	-1.026578	-0.698213	-1.336426	0.292480	-0.211670
46702		9.881406	5.406247	1.602458	0.403460	-1.086799	-0.706594	-1.341064	0.287842	-0.202881
46703		10.919447	5.482207	2.527182	0.364332	-1.008889	-0.637036	-1.342773	0.272217	-0.178955
46704		11.243626	3.652572	2.550965	-0.043473	-0.889134	-0.459568	-1.351807	0.272217	-0.168457
46705		11.384020	1.801333	1.701587	-0.410616	-0.914306	-0.294483	-1.354004	0.265381	-0.155273
